,,,,,
,REGISTERED COURSES,,,,
,CRN,Course Title,Building,Class Meet Time,
,71185,Operating Systems/Networking,Russell,9:15 AM,
,71190,Software Engineering,Russell,11:45 AM,
,71191,Current Topics,Russell,11:45 AM,
,71209,Beginning Directing,Harrison,1:00 PM,
,,,,,
,,,,,
